,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
1847,4.5,2.2,0.009935423837354813,464.0,main,0.008822633866371797
1848,4.600000000000001,2.2,0.001938494973794013,467.0,main,0.009456630629044458
1849,4.7,2.2,-0.0006637686986610234,468.0,main,0.008468578334566849
1850,4.800000000000001,2.2,-0.0006020298321096034,470.0,main,0.008707583554121759
1851,4.9,2.2,-0.000538746256654551,470.0,main,0.008090002877855763
1852,5.0,2.2,0.00205976625649457,471.0,main,0.008134271056841055
1853,5.1,2.2,0.004630392824814641,472.0,main,0.008794035740970776
1854,5.199999999999999,2.2,0.004533692552323321,472.0,main,0.008907631831842613
1855,5.299999999999999,2.2,0.001494005446002897,473.0,main,0.00934417939687881
1856,5.399999999999999,2.2,0.001169745488418565,473.0,main,0.008611007558439378
1857,5.499999999999998,2.2,0.0008727792573236722,473.0,main,0.008531582467690119
1858,5.599999999999998,2.2,0.003384401011485024,476.0,main,0.00787280128943744
1859,5.699999999999998,2.2,2.606367971000822e-05,477.0,main,0.008337455061566692
1860,5.799999999999997,2.2,-0.003306408858285617,478.0,main,0.008104972654721633
1861,5.899999999999997,2.2,-0.01180907119245571,481.0,main,0.006583379189573703
1862,5.999999999999996,2.2,-0.01466078264036726,482.0,main,0.007379277003771304
1863,6.099999999999996,2.2,-0.01462180130228213,482.0,main,0.00699907570597594
1864,6.199999999999996,2.2,-0.01460270715937226,482.0,main,0.007008619085762167
1865,6.299999999999995,2.2,-0.01451100349845665,482.0,main,0.007084681561871657
1866,6.399999999999995,2.2,-0.0143344818039506,482.0,main,0.007065517975131073
1867,6.499999999999995,2.2,-0.01700368938102266,483.0,main,0.006936024820816174
1868,6.599999999999994,2.2,-0.01688748321946117,483.0,main,0.00707745209038446
1869,6.699999999999994,2.2,-0.01930960815782664,484.0,main,0.006768410348513208
1870,6.799999999999994,2.2,-0.01589275728860124,485.0,main,0.007073338224421438
1871,6.899999999999993,2.2,-0.01213823163079726,488.0,main,0.0063374553382449
1872,6.999999999999993,2.2,-0.01185157844560119,488.0,main,0.006525078320027558
