,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
11506,2.6,8.9,0.2583432307937109,174.0,main,0.1391429421746109
11507,2.6,8.9,-0.2924505527836839,80.0,2nd cluster(-),0.1391429421746109
11508,2.6,8.9,0.8094872819741726,30.0,2nd cluster(+),0.1391429421746109
11509,2.7,8.9,0.1142147803716212,126.0,main,0.1303832017313278
11510,2.7,8.9,-0.3307876202469697,89.0,2nd cluster(-),0.1303832017313278
11511,2.7,8.9,0.561715977123475,63.0,2nd cluster(+),0.1303832017313278
11512,2.8,8.9,0.2479905550946218,177.0,main,0.1398734433453101
11513,2.8,8.9,-0.2973749665283467,78.0,2nd cluster(-),0.1398734433453101
11514,2.8,8.9,0.7974970906903525,32.0,2nd cluster(+),0.1398734433453101
11515,2.9,8.9,0.1829579652098774,199.0,main,0.09841720061918094
11516,2.9,8.9,-0.7767093164939034,77.0,2nd cluster(-),0.09841720061918094
11517,3.0,8.9,0.1137927954172952,231.0,main,0.1210912794154831
11518,3.0,8.9,-0.661308477851287,82.0,2nd cluster(-),0.1210912794154831
11519,3.0,8.9,0.8869474168402441,29.0,2nd cluster(+),0.1210912794154831
11520,3.1,8.9,0.00413313461467128,180.0,main,0.1562263638956384
11521,3.1,8.9,1.122309714825481,29.0,2nd cluster(+),0.1562263638956384
11522,3.2,8.9,0.08390184971284745,250.0,main,0.1097594526297853
11523,3.2,8.9,-0.7513958751129873,77.0,2nd cluster(-),0.1097594526297853
11524,3.2,8.9,0.9179728704026465,23.0,2nd cluster(+),0.1097594526297853
11525,3.3,8.9,0.06965613162038,257.0,main,0.07546764213006407
11526,3.3,8.9,-0.7465310507655561,58.0,2nd cluster(-),0.07546764213006407
11527,3.3,8.9,0.8948480214345619,15.0,2nd cluster(+),0.07546764213006407
11528,3.4,8.9,0.09654730890233394,255.0,main,0.1639075315842045
11529,3.4,8.9,-0.7580342819890089,77.0,2nd cluster(-),0.1639075315842045
11530,3.4,8.9,0.9514469173029912,60.0,2nd cluster(+),0.1639075315842045
11531,3.5,8.9,0.1020580876817306,267.0,main,0.1612550159880047
11532,3.5,8.9,-0.7809375450668724,76.0,2nd cluster(-),0.1612550159880047
11533,3.5,8.9,0.9835054956639947,56.0,2nd cluster(+),0.1612550159880047
11534,3.6,8.9,0.06059695352947317,274.0,main,0.1505666195593526
11535,3.6,8.9,-0.8267387060495296,67.0,2nd cluster(-),0.1505666195593526
11536,3.6,8.9,0.9486170640382501,58.0,2nd cluster(+),0.1505666195593526
11537,3.7,8.9,0.1281074878508702,248.0,main,0.1645013736650267
