level_0,level_1,rs,r_mean,r_std
2,4.0,[0.04531138 0.04531138 0.04068518 ... 0.94577928 0.94489147 0.94361166],0.9411155482183279,0.0038651731876175595
2,4.5,[0.04531138 0.04531138 0.04073986 ... 0.9507809  0.94913111 0.94801979],0.9527134930862882,0.0037949610667450057
2,5.0,[0.04531138 0.04531138 0.04079457 ... 0.97148968 0.97165192 0.9716339 ],0.9710481476006312,0.0024500461120157578
2,5.5,[0.04531138 0.04531138 0.04084931 ... 0.97397456 0.97429141 0.97507467],0.9748199012778046,0.0023707053915519084
2,6.0,[0.04531138 0.04531138 0.04090407 ... 0.97813877 0.97829261 0.9779504 ],0.9775874400337291,0.002356747699732699
2,6.5,[0.04531138 0.04531138 0.04095886 ... 0.97711651 0.97717404 0.97753027],0.9794265001004474,0.002351309898274262
2,7.0,[0.04531138 0.04531138 0.04101367 ... 0.98674453 0.98612934 0.98568427],0.9865731087925205,0.001369060412684557
2,7.5,[0.04531138 0.04531138 0.0410685  ... 0.9878484  0.98734318 0.98699229],0.9879855430803792,0.0013603524817295228
2,8.0,[0.04531138 0.04531138 0.04112336 ... 0.9884744  0.98919923 0.99014721],0.9891174993946497,0.0013529940712633534
2,8.5,[0.04531138 0.04531138 0.04117825 ... 0.98870389 0.98865885 0.98867521],0.9900319588709517,0.001345454032709649
2,9.0,[0.04531138 0.04531138 0.04123316 ... 0.98952916 0.98946964 0.98945112],0.990788563426244,0.0013396690335587464
2,9.5,[0.04531138 0.04531138 0.0412881  ... 0.99011318 0.99020173 0.99042674],0.9913705362531842,0.0013372939139237698
2,10.0,[0.04531138 0.04531138 0.04134306 ... 0.99309676 0.9923472  0.99181159],0.9918633255118399,0.001322342630440242
2,10.5,[0.04531138 0.04531138 0.04139805 ... 0.991476   0.99142824 0.99139263],0.9921220809995175,0.0012187318431240836
2,11.0,[0.04531138 0.04531138 0.04145306 ... 0.99552645 0.99552645 0.99552645],0.9955264517151283,7.78740535023478e-17
2,11.5,[0.04531138 0.04531138 0.04150809 ... 0.99591288 0.99591288 0.99591288],0.9959128844302473,7.056687937132857e-17
2,12.0,[0.04531138 0.04531138 0.04156316 ... 0.9962511  0.9962511  0.9962511 ],0.9962510979286369,2.2828518031436707e-16
2,12.5,[0.04531138 0.04531138 0.04161824 ... 0.99654883 0.99654883 0.99654883],0.9965488279932889,1.472877282518059e-16
2,13.0,[0.04531138 0.04531138 0.04167336 ... 0.99681231 0.99681231 0.99681231],0.9968123126866512,1.0579207953728439e-16
2,13.5,[0.04531138 0.04531138 0.04172849 ... 0.99704663 0.99704663 0.99704663],0.9970466286868522,9.576276950461626e-17
2,14.0,[0.04531138 0.04531138 0.04178365 ... 0.99725594 0.99725594 0.99725594],0.9972559423585601,1.623357157714821e-16
2,14.5,[0.04531138 0.04531138 0.04183884 ... 0.9974437  0.9974437  0.9974437 ],0.9974436994872651,7.056687937132857e-17
3,1.0,[0.04146344 0.04146344 0.03842037 ... 0.09391021 0.09514537 0.09622337],0.057962671243715035,0.025773321889469177
3,1.5,[0.04146344 0.04146344 0.03847045 ... 0.03136665 0.0405454  0.04942231],0.06167663553290916,0.03261680883017346
3,2.0,[0.04146344 0.04146344 0.03852056 ... 0.08531832 0.08712436 0.0886306 ],0.06342619733019637,0.03892454058583579
3,2.5,[0.04146344 0.04146344 0.03857068 ... 0.76589444 0.76230617 0.75912441],0.759076956728687,0.012749251034644096
3,3.0,[0.04146344 0.04146344 0.03862083 ... 0.86665863 0.8662434  0.86559878],0.8684231785984987,0.007123373722055174
3,3.5,[0.04146344 0.04146344 0.03867101 ... 0.91231266 0.91271987 0.91346263],0.9177831481776557,0.0053477587735477885
3,4.0,[0.04146344 0.04146344 0.0387212  ... 0.9375772  0.93772438 0.93811207],0.9429402509497465,0.0027424456436144977
3,4.5,[0.04146344 0.04146344 0.03877142 ... 0.95718966 0.95883172 0.95995535],0.9549433702800749,0.004009092218901651
3,5.0,[0.04146344 0.04146344 0.03882166 ... 0.96965487 0.96955007 0.96968928],0.9699143119366401,0.002275912232705345
3,5.5,[0.04146344 0.04146344 0.03887193 ... 0.97690891 0.9777388  0.97836446],0.976276331117353,0.0019031648207628277
3,6.0,[0.04146344 0.04146344 0.03892221 ... 0.98467021 0.98467021 0.98467021],0.9846702053598515,2.681136885507055e-16
3,6.5,[0.04146344 0.04146344 0.03897252 ... 0.98704801 0.98704801 0.98704801],0.9870480135224379,3.127993033091564e-16
