level_0,level_1,rs,r_mean,r_std
2,8.0,[0.04531138 0.04531138 0.04029141 ... 0.59001359 0.62328064 0.65682884],0.5396888418347002,0.16824891769159198
2,8.5,[0.04531138 0.04531138 0.04029408 ... 0.81336155 0.78631795 0.75539044],0.5458019682863664,0.17680469949586902
2,9.0,[0.04531138 0.04531138 0.04029676 ... 0.64913387 0.6683622  0.68880068],0.6848572726333951,0.10124260851778089
2,9.5,[0.04531138 0.04531138 0.04029944 ... 0.85049056 0.84666301 0.83924062],0.7171554160181536,0.08029286546910526
2,10.0,[0.04531138 0.04531138 0.04030211 ... 0.56243882 0.57746005 0.59379636],0.6540255686748748,0.08177418682723626
2,10.5,[0.04531138 0.04531138 0.04030479 ... 0.83847565 0.83157019 0.81976609],0.5628018609418327,0.12217575936110256
2,11.0,[0.04531138 0.04531138 0.04030746 ... 0.64354105 0.65783541 0.67199249],0.6151518796642312,0.12676337142400562
2,11.5,[0.04531138 0.04531138 0.04031014 ... 0.56298192 0.55154436 0.54160871],0.6136323103217082,0.08312997596510853
2,12.0,[0.04531138 0.04531138 0.04031282 ... 0.76713825 0.75082283 0.73453268],0.7298591808230013,0.09106862413657145
2,12.5,[0.04531138 0.04531138 0.04031549 ... 0.85205304 0.85033236 0.84296568],0.6187133738381758,0.11755248868902418
2,13.0,[0.04531138 0.04531138 0.04031817 ... 0.54630915 0.5531334  0.56291723],0.690311210606589,0.10735724517807102
2,13.5,[0.04531138 0.04531138 0.04032085 ... 0.45308317 0.45328767 0.45443244],0.6037455525890776,0.14738289225293272
2,14.0,[0.04531138 0.04531138 0.04032352 ... 0.91477886 0.9179026  0.91470332],0.6924010385471309,0.12601047649420494
2,14.5,[0.04531138 0.04531138 0.0403262  ... 0.6659178  0.65682549 0.64884618],0.685445332854012,0.1253742761777944
3,1.0,[0.04146344 0.04146344 0.03832519 ... 0.02313383 0.02154145 0.0195745 ],0.04681059917353179,0.02581277847475492
3,1.5,[0.04146344 0.04146344 0.03832764 ... 0.01886392 0.0188456  0.01866722],0.06269278638701002,0.029505502472017456
3,2.0,[0.04146344 0.04146344 0.0383301  ... 0.03070389 0.02950094 0.02902381],0.08804801426791212,0.040543526938278084
3,2.5,[0.04146344 0.04146344 0.03833256 ... 0.02074268 0.01919546 0.02068117],0.14176117936015353,0.08641982011934266
3,3.0,[0.04146344 0.04146344 0.03833501 ... 0.10551186 0.09921976 0.09366622],0.18598792485419136,0.08971297135881147
3,3.5,[0.04146344 0.04146344 0.03833747 ... 0.18374476 0.18346209 0.18227141],0.20739988664914638,0.10650385407665419
3,4.0,[0.04146344 0.04146344 0.03833993 ... 0.11740331 0.12021409 0.12124667],0.2321917195804979,0.1494020483040634
3,4.5,[0.04146344 0.04146344 0.03834239 ... 0.40076834 0.40687517 0.4117991 ],0.2566599432316775,0.1288964656285374
3,5.0,[0.04146344 0.04146344 0.03834484 ... 0.40727137 0.37858798 0.34920126],0.2730225752427777,0.22062324656882468
3,5.5,[0.04146344 0.04146344 0.0383473  ... 0.64608931 0.63907048 0.62846984],0.30099098727131,0.2278398158734907
3,6.0,[0.04146344 0.04146344 0.03834976 ... 0.08153238 0.09057416 0.09950081],0.2531290035159677,0.2227102183112893
3,6.5,[0.04146344 0.04146344 0.03835221 ... 0.32460371 0.32254682 0.31952168],0.4599697226589313,0.13138506683135445
3,7.0,[0.04146344 0.04146344 0.03835467 ... 0.58665353 0.61073153 0.63358571],0.4343956550443415,0.1943367987319073
3,7.5,[0.04146344 0.04146344 0.03835713 ... 0.79536471 0.79348285 0.7856992 ],0.46121937444807076,0.2136785768592805
3,8.0,[0.04146344 0.04146344 0.03835959 ... 0.3225074  0.31188823 0.30142594],0.5001386333848893,0.19881911733158533
3,8.5,[0.04146344 0.04146344 0.03836204 ... 0.22884969 0.22594997 0.22357632],0.3766593292728694,0.14208047848123015
3,9.0,[0.04146344 0.04146344 0.0383645  ... 0.60282405 0.59840109 0.59497831],0.6388167162658448,0.11025283389303685
3,9.5,[0.04146344 0.04146344 0.03836696 ... 0.48597999 0.46673584 0.45160264],0.6166582150464098,0.1511244489167644
3,10.0,[0.04146344 0.04146344 0.03836942 ... 0.43626182 0.44243103 0.44738662],0.5161748081094126,0.14018607617817247
3,10.5,[0.04146344 0.04146344 0.03837187 ... 0.53991553 0.54706051 0.55394082],0.6470448552895457,0.09946208487534326
3,11.0,[0.04146344 0.04146344 0.03837433 ... 0.67372598 0.66715194 0.66169299],0.6996849169579862,0.09432255838407917
3,11.5,[0.04146344 0.04146344 0.03837679 ... 0.64360858 0.61133839 0.58209216],0.6629232218250302,0.11011787846408078
3,12.0,[0.04146344 0.04146344 0.03837925 ... 0.72188381 0.72516647 0.72909881],0.7248478117509493,0.08060213519362328
3,12.5,[0.04146344 0.04146344 0.0383817  ... 0.69724424 0.67419032 0.65220064],0.6597702592610079,0.1219978160266919
3,13.0,[0.04146344 0.04146344 0.03838416 ... 0.90924627 0.88576997 0.85815746],0.7373175886376123,0.08867319010007874
3,13.5,[0.04146344 0.04146344 0.03838662 ... 0.75270367 0.73750326 0.72126594],0.7561835823512771,0.07617342669743672
3,14.0,[0.04146344 0.04146344 0.03838908 ... 0.680402   0.65542552 0.6334403 ],0.7289140956861961,0.08901832550355115
3,14.5,[0.04146344 0.04146344 0.03839154 ... 0.83677876 0.80882704 0.77906696],0.6832229097540996,0.10784042262760224
4,1.0,[0.04309367 0.04309367 0.04361378 ... 0.03817594 0.04006636 0.04188516],0.03993873999829821,0.02408084353011271
4,1.5,[0.04309367 0.04309367 0.0436166  ... 0.06450358 0.06254485 0.06066357],0.05748478284417972,0.021680237442600572
4,2.0,[0.04309367 0.04309367 0.04361941 ... 0.08988442 0.08837035 0.08615722],0.0631751532077574,0.02901245121824895
4,2.5,[0.04309367 0.04309367 0.04362222 ... 0.12567511 0.12740033 0.12949351],0.102289271985828,0.06087827327691193
4,3.0,[0.04309367 0.04309367 0.04362503 ... 0.08808402 0.08198634 0.07690608],0.19592786165841258,0.11812375634371465
4,3.5,[0.04309367 0.04309367 0.04362785 ... 0.29037791 0.28993645 0.28972339],0.23516175343979956,0.10703583405130324
4,4.0,[0.04309367 0.04309367 0.04363066 ... 0.16539073 0.15425381 0.14371839],0.2682679355539856,0.11391485717850347
